semiannual_start,ticker,rl_risk_score,risk_profile,split
2024-01-02,MFPC,2.9823375145594277,aggressive,test
2024-01-02,MTIE,2.705411911010742,aggressive,test
2024-01-02,OCDI,2.0713868203262487,aggressive,test
2024-01-02,OFH,-0.7184612154960632,conservative,test
2024-01-02,OIH,1.9849730928738911,aggressive,test
2024-01-02,ORAS,-0.5289935804903507,conservative,test
2024-01-02,ORHD,2.441083232561747,aggressive,test
2024-01-02,ORWE,2.335811192790667,aggressive,test
2024-01-02,PHAR,-2.429691423972448,conservative,test
2024-01-02,PHDC,1.2291986048221588,balanced,test
2024-01-02,PRDC,-0.6362011333306631,conservative,test
2024-01-02,QNBE,-1.9171122908592224,conservative,test
2024-01-02,RAYA,2.1243727753559747,aggressive,test
2024-01-02,RMDA,0.41992278893788654,balanced,test
2024-01-02,SKPC,2.1610755026340485,aggressive,test
2024-01-02,SPMD,1.3055217266082764,balanced,test
2024-01-02,SUGR,2.110363026460012,aggressive,test
2024-01-02,SWDY,0.4088953882455826,balanced,test
2024-01-02,TALM,-0.7562142163515091,conservative,test
2024-01-02,TMGH,2.706969936688741,aggressive,test
2024-01-02,VLMR,-2.6965142091115317,conservative,test
2024-01-02,VLMRA,1.1897408353785675,balanced,test
2024-07-18,ABUK,-0.7403923769791921,balanced,test
2024-07-18,ADIB,-2.3355684826771417,conservative,test
2024-07-18,ALCN,1.2920766870180767,balanced,test
2024-07-18,AMOC,0.542519748210907,balanced,test
2024-07-18,ARAB,1.976839542388916,aggressive,test
2024-07-18,ARCC,2.4895915389060974,aggressive,test
2024-07-18,ASPI,2.2345496714115143,aggressive,test
2024-07-18,BINV,0.8713744940857092,balanced,test
2024-07-18,BTFH,-0.5230244994163513,balanced,test
2024-07-18,CCAP,3.0191816091537476,aggressive,test
2024-07-18,CICH,-1.8190242151419322,conservative,test
2024-07-18,CIEB,-2.4643372893333435,conservative,test
2024-07-18,CIRA,-2.335038503011068,conservative,test
2024-07-18,CLHO,-0.8413957258065542,balanced,test
2024-07-18,COMI,-3.067498962084452,conservative,test
2024-07-18,DSCW,2.10638298590978,aggressive,test
2024-07-18,EAST,-0.6811167250076929,balanced,test
2024-07-18,EFID,-1.084454506635666,conservative,test
2024-07-18,EFIH,2.35314671198527,aggressive,test
2024-07-18,EGAL,1.3198040674130123,balanced,test
2024-07-18,EGCH,-1.1862503091494243,conservative,test
2024-07-18,EGTS,0.6275374492009481,balanced,test
2024-07-18,EMFD,2.7303139368693032,aggressive,test
2024-07-18,ETEL,-2.675807297229767,conservative,test
2024-07-18,EXPA,-2.34628297885259,conservative,test
2024-07-18,FAIT,-2.6574838757514954,conservative,test
2024-07-18,FAITA,-2.636446992556254,conservative,test
2024-07-18,FWRY,0.743090475598971,balanced,test
2024-07-18,GBCO,1.4562417181829612,aggressive,test
2024-07-18,GDWA,2.492460230986277,aggressive,test
2024-07-18,HDBK,-2.6259274085362754,conservative,test
2024-07-18,HELI,-1.0401081951955955,conservative,test
2024-07-18,HRHO,-0.9827762444814047,balanced,test
2024-07-18,IRON,0.9055392344792684,balanced,test
2024-07-18,ISPH,2.397833824157715,aggressive,test
2024-07-18,JUFO,1.9074464210619528,aggressive,test
2024-07-18,MASR,-1.1991156935691833,conservative,test
2024-07-18,MCQE,1.9101509253184001,aggressive,test
2024-07-18,MFPC,1.3476472509404023,balanced,test
2024-07-18,MTIE,2.0389929823577404,aggressive,test
2024-07-18,OCDI,2.4291825890541077,aggressive,test
2024-07-18,OFH,0.5413043896357218,balanced,test
2024-07-18,OIH,1.5497488677501678,aggressive,test
2024-07-18,ORAS,-0.692186509569486,balanced,test
2024-07-18,ORHD,2.6764084498087564,aggressive,test
2024-07-18,ORWE,0.6847960948944092,balanced,test
2024-07-18,PHAR,-2.7414188782374063,conservative,test
2024-07-18,PHDC,2.4991514881451926,aggressive,test
2024-07-18,PRDC,0.9912523838380972,balanced,test
2024-07-18,QNBE,-1.9105915029843648,conservative,test
2024-07-18,RAYA,2.982730229695638,aggressive,test
2024-07-18,RMDA,1.5954630374908447,aggressive,test
2024-07-18,SKPC,0.8061905999978384,balanced,test
2024-07-18,SPMD,-1.653902703275283,conservative,test
2024-07-18,SUGR,-1.3373445806403954,conservative,test
2024-07-18,SWDY,2.595754702885946,aggressive,test
2024-07-18,TALM,-0.5999704003334045,balanced,test
2024-07-18,TMGH,1.091607928276062,balanced,test
2024-07-18,VLMR,-2.4768091837565103,conservative,test
2024-07-18,VLMRA,-1.1730323731899261,conservative,test
2025-01-19,ABUK,-2.7310714721679688,conservative,test
2025-01-19,ADIB,-2.679967244466146,conservative,test
2025-01-19,ALCN,-2.2710630893707275,conservative,test
2025-01-19,AMOC,-2.520790239175161,conservative,test
2025-01-19,ARAB,2.7799716790517173,aggressive,test
2025-01-19,ARCC,2.7910392681757608,aggressive,test
2025-01-19,ASPI,2.36240287621816,aggressive,test
2025-01-19,BINV,-1.2430676867564519,balanced,test
2025-01-19,BTFH,1.5338946133852005,balanced,test
2025-01-19,CCAP,2.1492971181869507,aggressive,test
2025-01-19,CICH,-0.9535782287518183,balanced,test
2025-01-19,CIEB,-1.9633869727452595,conservative,test
2025-01-19,CIRA,-1.3481892844041188,conservative,test
2025-01-19,CLHO,-0.22116454442342123,balanced,test
2025-01-19,COMI,-3.2080465952555337,conservative,test
2025-01-19,DSCW,2.539572238922119,aggressive,test
2025-01-19,EAST,-1.0058257728815079,balanced,test
2025-01-19,EFID,-1.1179862419764202,balanced,test
2025-01-19,EFIH,0.638572225968043,balanced,test
2025-01-19,EGAL,1.316313624382019,balanced,test
2025-01-19,EGCH,-0.0697350191573302,balanced,test
2025-01-19,EGTS,1.5861529260873795,balanced,test
2025-01-19,EMFD,0.8637344787518183,balanced,test
2025-01-19,ETEL,-2.9296270608901978,conservative,test
2025-01-19,EXPA,-1.0857448875904083,balanced,test
2025-01-19,FAIT,-2.0175422032674155,conservative,test
2025-01-19,FAITA,-2.2842907905578613,conservative,test
2025-01-19,FWRY,0.2114367994169394,balanced,test
2025-01-19,GBCO,2.3267090916633606,aggressive,test
2025-01-19,GDWA,2.4612898031870523,aggressive,test
2025-01-19,HDBK,-2.1247403025627136,conservative,test
2025-01-19,HELI,-1.013715257247289,balanced,test
